Date,Open,High,Low,Close,Volume,hour_change,24hr_change
3/7/2021 0:00,48897.43,49150.05,48897.43,49096.45,2.964608847,0.405,0.405
3/6/2021 23:00,48983.47,49159.96,48838.27,48897.43,32.74362145,-0.176,0.229
3/6/2021 22:00,48597.81,49300,48475.35,48983.47,99.42967267,0.787,1.016
3/6/2021 21:00,48589.53,48750,48282.5,48597.81,111.7386394,0.017,1.033
3/6/2021 20:00,48409.2,48750,48280.07,48589.53,89.04136033,0.371,1.404
3/6/2021 19:00,48522.65,48707.75,48300,48409.2,42.32144149,-0.234,1.17
3/6/2021 18:00,48294.03,48654.77,48155,48522.65,30.74024858,0.471,1.641
3/6/2021 17:00,47795.04,48487.94,47673.84,48294.03,49.47948477,1.033,2.674
3/6/2021 16:00,47280.64,47948.53,47178.46,47795.04,42.37453918,1.076,3.75
3/6/2021 15:00,47596.93,47742.43,47280.64,47280.64,24.31752729,-0.669,3.081
3/6/2021 14:00,47353.53,47717.46,47232.85,47596.93,39.57792561,0.511,3.592
3/6/2021 13:00,47653.47,47755.74,47096.87,47353.53,41.71626812,-0.633,2.959
3/6/2021 12:00,48159.62,48190.61,47432.04,47653.47,30.04407612,-1.062,1.897
3/6/2021 11:00,48052.73,48316.03,48019.86,48159.62,7.756975994,0.222,2.119
3/6/2021 10:00,48286.12,48509.51,47970.39,48052.73,11.71915091,-0.486,1.633
3/6/2021 9:00,48645.49,48783.55,48281,48286.12,19.05696119,-0.744,0.889
3/6/2021 8:00,48847.68,49118.54,48622.71,48645.49,20.65941438,-0.416,0.473
3/6/2021 7:00,48926.17,49127.99,48777.97,48847.68,20.67822124,-0.161,0.312
3/6/2021 6:00,48465.03,48953.12,48465.03,48926.17,40.27090921,0.943,1.255
3/6/2021 5:00,48474.18,48850,48204,48465.03,44.47345483,-0.019,1.236
3/6/2021 4:00,48648.76,48649.75,48124.85,48474.18,31.85739327,-0.36,0.876
3/6/2021 3:00,48709.27,48784.62,48433.34,48648.76,54.12651662,-0.124,0.752
3/6/2021 2:00,48675.09,48714.72,48217.99,48709.27,38.79385909,0.07,0.822
3/6/2021 1:00,48839.03,48913.59,48539.53,48675.09,21.07609912,-0.337,0.485
3/6/2021 0:00,48773.28,49176.59,48705.74,48839.03,35.99253554,0.135,0.62
3/5/2021 23:00,49101.92,49155.77,48623.05,48773.28,24.58225449,-0.674,-0.459
3/5/2021 22:00,49063.26,49400.9,48750,49101.92,39.1329345,0.079,-0.204
3/5/2021 21:00,49228.49,49429.65,48919.57,49063.26,63.27937666,-0.337,-1.328
3/5/2021 20:00,49352.44,49455.61,48895.62,49228.49,87.52562311,-0.252,-1.597
3/5/2021 19:00,48485.66,49439.94,48333.97,49352.44,128.4583039,1.756,-0.212
3/5/2021 18:00,48109.8,48606.28,47927.22,48485.66,96.62074504,0.775,0.797
